referencia,pc1,pc2,lat,lon,area_m2,municipio,uso,tipo_via,nombre_via,numero,direccion,es_residencial,es_asr,error_dnprc
5249530UL9154N,5249530,UL9154N,40.77982,-4.241493,230.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3630,CL W 3630 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249531UL9154N,5249531,UL9154N,40.779897,-4.241529,232.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3631,CL W 3631 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249532UL9154N,5249532,UL9154N,40.779973,-4.241564,233.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3632,CL W 3632 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249533UL9154N,5249533,UL9154N,40.78005,-4.2416,236.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3633,CL W 3633 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249534UL9154N,5249534,UL9154N,40.780126,-4.241636,239.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",CL,W,3634,CL W 3634 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249535UL9154N,5249535,UL9154N,40.780201,-4.24167,235.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,A,3635,AV A 3635 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249536UL9154N,5249536,UL9154N,40.780278,-4.241707,254.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,A,3636,AV A 3636 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249537UL9154N,5249537,UL9154N,40.780354,-4.241753,250.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,A,3637,AV A 3637 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249538UL9154N,5249538,UL9154N,40.780426,-4.241806,231.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,A,3638,AV A 3638 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249539UL9154N,5249539,UL9154N,40.780499,-4.241855,225.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,A,3639,AV A 3639 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249540UL9154N,5249540,UL9154N,40.780571,-4.241904,223.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,A,3640,AV A 3640 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249541UL9154N,5249541,UL9154N,40.780679,-4.241982,457.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,A,3641,AV A 3641 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249542UL9154N,5249542,UL9154N,40.780821,-4.242086,455.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,A,3642,AV A 3642 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249543UL9154N,5249543,UL9154N,40.780954,-4.242197,466.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,A,3643,AV A 3643 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249544UL9154N,5249544,UL9154N,40.781075,-4.242328,449.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,A,3644,AV A 3644 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249545UL9154N,5249545,UL9154N,40.781178,-4.242485,464.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,A,3645,AV A 3645 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249546UL9154N,5249546,UL9154N,40.781274,-4.242657,453.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,A,3646,AV A 3646 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249547UL9154N,5249547,UL9154N,40.781356,-4.24286,519.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,A,3647,AV A 3647 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249548UL9154N,5249548,UL9154N,40.781395,-4.2431,507.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,A,3648,AV A 3648 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249549UL9154N,5249549,UL9154N,40.781355,-4.243342,490.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,A,3649,AV A 3649 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249550UL9154N,5249550,UL9154N,40.78124,-4.24354,488.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,A,3650,AV A 3650 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249551UL9154N,5249551,UL9154N,40.781127,-4.243656,250.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,A,3651,AV A 3651 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249552UL9154N,5249552,UL9154N,40.781044,-4.243708,246.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,A,3652,AV A 3652 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249553UL9154N,5249553,UL9154N,40.780962,-4.243759,243.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,A,3653,AV A 3653 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249554UL9154N,5249554,UL9154N,40.780878,-4.243802,238.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,A,3654,AV A 3654 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249555UL9154N,5249555,UL9154N,40.780792,-4.243839,231.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,A,3655,AV A 3655 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249556UL9154N,5249556,UL9154N,40.780706,-4.243872,226.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,A,3656,AV A 3656 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249557UL9154N,5249557,UL9154N,40.780619,-4.243903,224.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,A,3657,AV A 3657 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249558UL9154N,5249558,UL9154N,40.780532,-4.243938,224.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,A,3658,AV A 3658 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249559UL9154N,5249559,UL9154N,40.780445,-4.243966,228.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,A,3659,AV A 3659 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249560UL9154N,5249560,UL9154N,40.780356,-4.243987,233.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,A,3660,AV A 3660 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249561UL9154N,5249561,UL9154N,40.780268,-4.24401,236.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,A,3661,AV A 3661 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
5249562UL9154N,5249562,UL9154N,40.780179,-4.244032,241.0,VEGAS DE MATUTE,"Obras de urbanización y jardineria, suelos sin edificar",AV,A,3662,AV A 3662 Suelo 40423 VEGAS DE MATUTE (SEGOVIA),False,False,
